2023-08-17 15:11:43 [main] INFO  main.java.Logger.MyLogger.SetGlobalVariables - Global Variables have been set
2023-08-17 15:11:54 [main] INFO  main.java.Logger.MyLogger.FindElement - Username Element has found
2023-08-17 15:11:56 [main] INFO  main.java.Logger.MyLogger.FindElement - Password Element has found
2023-08-17 15:11:56 [main] INFO  main.java.Logger.MyLogger.FindElement - LoginButton Element has found
2023-08-17 15:11:56 [main] INFO  main.java.Logger.MyLogger.ClickButton - LoginButtonButton has been clicked
2023-08-17 15:11:57 [main] INFO  main.java.Logger.MyLogger.FindElement - error Element has found
2023-08-17 15:11:57 [main] INFO  main.java.Logger.MyLogger.CheckPresenceOfElement - error Control is present
2023-08-17 15:11:59 [main] INFO  main.java.Logger.MyLogger.FindElement - Username Element has found
2023-08-17 15:12:01 [main] INFO  main.java.Logger.MyLogger.FindElement - Password Element has found
2023-08-17 15:12:01 [main] INFO  main.java.Logger.MyLogger.FindElement - LoginButton Element has found
2023-08-17 15:12:02 [main] INFO  main.java.Logger.MyLogger.ClickButton - LoginButtonButton has been clicked
2023-08-17 15:12:02 [main] INFO  main.java.Logger.MyLogger.FindElement - Logo Element has found
2023-08-17 15:12:02 [main] INFO  main.java.Logger.MyLogger.CheckPresenceOfElement - Logo Control is present
